date,account_id,account_name,campaign_id,camapign_name,country_code,impressions,clicks,spend
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,164,1,1.37
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,1370,5,4.72
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,97,1,0.82
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,42,0,0.32
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,117,0,0.77
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,37,0,0.32
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,152,0,1.02
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,143,1,2.01
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,154,0,1.49
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,371,1,1.04
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,695,1,2.84
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,624,2,2.59
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,30,0,0.18
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,886,4,3.09
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,793,1,2.93
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,75,1,0.87
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,774,4,2.72
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,133,0,1.23
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,4899,19,22.87
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,99,1,1.23
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,2449,3,10.17
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,154,1,1.97
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,89,0,0.95
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,2810,9,14.3
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,1983,5,11.02
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,102,0,1.06
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,42,1,0.52
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,111,0,1.35
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,UA,118,1,1.31
2023-10-01,"285138593451",ACQUISITION,"238545383146",stu_ps_all_web_python,PL,1912,3,11.68
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,35,1,0.5
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,9,0,0.05
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,50,0,0.22
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,8,0,0.08
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,15,0,0.12
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,131,0,0.7
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,144,1,0.6
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,12,0,0.14
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,100,0,0.36
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,25,0,0.2
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,21,0,0.22
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,56,0,0.2
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,79,0,0.28
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,10,0,0.04
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,9,0,0.06
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,202,1,1.22
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,13,0,0.07
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,274,2,1.31
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,5,0,0.04
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,51,1,0.38
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,161,0,0.81
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,36,1,0.28
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,8,0,0.24
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,UA,24,0,0.45
2023-10-01,"285138593451",ACQUISITION,"238547579572",stu_ps_all_all_sql,PL,17,0,0.15
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,PL,37646,87,30.54
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,UA,5912,10,1.85
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,UA,13901,23,7.12
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,UA,9316,12,4.12
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,PL,17732,37,11.91
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,UA,6174,20,11.54
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,UA,3742,10,2.89
2023-10-01,"285138593451",ACQUISITION,"238582844415",stu_ps_all_ios_multiple,PL,9102,33,7.71
