dim,name,code
Target Audience,STUDENT,stu
Target Audience,CURATOR,cur
Channel,REFERRAL,referral
Channel,BRAND,brand
Channel,PAID SOCIAL,ps
Channel,SEM,sem
Target Geo,ALL,all
Target Geo,UKRAINE,ua
Target Geo,POLAND,pl
Target Geo,CANADA,ca
Target Geo,UNITED STATES,us
Target Device,ALL,all
Target Device,ALL APP,app
Target Device,ALL WEB,web
Target Device,ANDROID,and
Target Device,IOS,ios
Target Device,MOBILE,mweb
Target Device,DESKTOP,dweb
Product,MULTIPLE PRODUCTS,multiple
Product,SQL,sql
Product,AI,ai
Product,PYTHON,py
Product,REACT,react
Product,ML,ml
